Name,Brand,Quantity,Price
Laptop A1,Dell,10,650.00
Laptop B2,HP,8,590.50
Mouse X1,Logitech,25,15.99
Keyboard K1,Corsair,12,39.99
Monitor Ultra1,Samsung,5,229.00
Laptop C3,Asus,7,620.40
Mouse Z2,Razer,15,29.99
Headset H3,SteelSeries,6,89.00
Webcam W4,Logitech,9,44.99
Speaker S5,Bose,4,199.99
Laptop D4,MSI,11,610.00
Mouse M5,HP,18,13.99
Keyboard K6,Logitech,10,34.50
Monitor M7,LG,3,265.00
Tablet T8,Apple,14,899.99
Phone P9,Samsung,20,749.50
Headset H10,Sony,5,74.99
Speaker S11,JBL,6,94.00
Webcam W12,Microsoft,8,40.00
Laptop E13,Acer,9,560.25
Laptop F14,Dell,7,605.90
Mouse M15,Asus,13,18.75
Keyboard K16,Razer,11,52.30
Monitor M17,BenQ,4,250.00
Tablet T18,Lenovo,10,820.00
Phone P19,Oppo,21,399.99
Headset H20,HyperX,5,72.50
Speaker S21,Marshall,6,120.00
Webcam W22,AverMedia,7,46.20
Laptop G23,Dell,9,675.00
Mouse M24,Logitech,17,16.80
Keyboard K25,Corsair,10,40.00
Monitor M26,Samsung,6,230.00
Tablet T27,Xiaomi,11,680.00
Phone P28,Vivo,18,412.00
Headset H29,Bose,4,105.00
Speaker S30,Sony,5,129.99
Webcam W31,HP,9,38.00
Laptop H32,HP,10,600.00
Mouse M33,MSI,16,14.00
Keyboard K34,Redragon,12,33.99
Monitor M35,Dell,3,270.00
Tablet T36,Realme,9,550.00
Phone P37,Motorola,20,385.00
Headset H38,SteelSeries,6,84.50
Speaker S39,Creative,7,98.00
Webcam W40,Logitech,8,42.75
Laptop I41,Asus,8,640.00
Mouse M42,Acer,14,13.50
Keyboard K43,Razer,11,49.00
Monitor M44,LG,4,245.00
Tablet T45,Apple,10,940.00
Phone P46,Samsung,19,715.00
Headset H47,JBL,5,72.00
Speaker S48,Marshall,6,119.00
Webcam W49,Microsoft,7,43.00
Laptop J50,MSI,10,620.00
Mouse M51,HP,18,16.90
Keyboard K52,Logitech,12,36.99
Monitor M53,Dell,3,280.00
Tablet T54,Lenovo,13,720.00
Phone P55,Xiaomi,22,420.00
Headset H56,HyperX,5,76.00
Speaker S57,Bose,6,117.99
Webcam W58,AverMedia,8,41.50
Laptop K59,Dell,9,685.00
Mouse M60,Asus,16,15.60
Keyboard K61,Corsair,10,41.00
Monitor M62,Samsung,5,235.00
Tablet T63,Apple,12,950.00
Phone P64,Oppo,23,385.00
Headset H65,SteelSeries,6,88.00
Speaker S66,Sony,7,106.99
Webcam W67,Logitech,8,39.90
Laptop L68,Acer,9,575.00
Mouse M69,Razer,15,19.99
Keyboard K70,Redragon,11,31.99
Monitor M71,LG,4,255.00
Tablet T72,Realme,14,570.00
Phone P73,Vivo,19,432.00
Headset H74,Bose,4,102.99
Speaker S75,JBL,6,111.00
Webcam W76,HP,7,37.00
Laptop M77,Asus,11,610.00
Mouse M78,Logitech,17,17.80
Keyboard K79,Corsair,12,38.99
Monitor M80,BenQ,3,262.00
Tablet T81,Xiaomi,11,680.00
Phone P82,Motorola,20,410.00
Headset H83,Sony,5,70.00
Speaker S84,Marshall,6,115.00
Webcam W85,Microsoft,9,39.99
Laptop N86,Dell,10,595.00
Mouse M87,HP,16,15.40
Keyboard K88,Razer,10,50.00
Monitor M89,Samsung,4,238.00
Tablet T90,Apple,13,930.00
Phone P91,Samsung,21,740.00
Headset H92,HyperX,6,75.00
Speaker S93,Bose,5,121.00
Webcam W94,AverMedia,8,40.00
Laptop O95,MSI,9,615.00
Mouse M96,Acer,15,14.99
Keyboard K97,Logitech,13,35.00
Monitor M98,LG,3,278.00
Tablet T99,Lenovo,12,705.00
Phone P100,Oppo,22,400.00